term,definition
"로그 분석(LA, Log Analysis)","로그(log)는 컴퓨터나 장비의 데이터 처리내용, 이용 상황 등 다양한 운용 정보를 시간의
흐름에 따라 기록한 정보를 의미. 침해 사고 발생 시점, 침입 경로, 공격자 추적 등 단서를
확보할 수 있어 침해 사고 원인분석에 꼭 필요한 절차임."
"루트 인증 기관(Root CA, Root Certification Authority)","공개 키 기반구조에서의 모든 실체에 의해 직접적으로 신임되는 인증 기관(CA)으로,
계층구조상 최상위계층 CA를 의미함."
루트킷(Rootkit),"해커가 설치한 악성코드(트로이목마, 악성봇 등)가 백신이나 PC 사용자에게 발각되지
않도록 숨겨주는 역할을 함. 대부분의 루트킷은 일반 프로그램이 동작하는 계층보다 더
하위 계층, 즉 커널이라는 운영체제 핵심 부분에 숨어서 동작하여 탐지․분석이 어려움."
루팅(Rooting),"G社의 안드로이드 운영체제가 탑재된 스마트폰의 보안기능을 해제하여, 허용되지 않은
기능(카메라 무음 등)을 사용하거나 유료 앱을 무료로 사용할 수 있도록 운영체제를 변경
하는 행위."
마스터 키(Master Key),"비밀 키 암호 체계에서 암호학적 연산에 직접 사용되는 암호 키나 키 정보 암호화용 키를
유도하는 데 사용되는 정보."
마이터 어택(MITRE ATT&CK),"마이터 어택(MITRE ATT&CK)은 실제 데이터를 기반으로 하는 적대적인 전술 및 기술에
대한 전 세계적으로 접근 가능한 지식 기반으로 MITRE ATT&CK 프레임워크의 전술, 해킹
그룹의 공격을 탐지함."
매니지 가상 사설망(Manage VPN [Manage Virtual Private Network]),"VPN 장비를 외주사에서 관리하는 것으로 초기 장비 도입 비용이 없지만 보안, 암호화
수준이 미비 될수 있다는 문제점이 있음."
악성코드(Malware),"컴퓨터에 악영향을 끼칠 수 있는 모든 소프트웨어의 총칭이다. 예를 들어 바이러스, 웜,
트로이 목마 등."
메모리 해킹(Memory Hacking),"메모리 해킹은 램(RAM)에 저장되는 데이터를 절취하거나 이를 조작하는 해킹기법으로
한글, 엑셀 등 응용 프로그램이 실행되는 과정에서 사용되는 메모리 정보를 변조하는
행위를 의미함."
메시지 다이제스트(Message digests),임의의 길이의 메시지에 해쉬함수를 적용하여 일정한 길이의 비트열로 축약하는 것.
"메시지 인증 코드(MAC, Message Authentication Code)","데이터의 무결성 인증을 보장하기 위해 대칭키 암호 혹은 해시 암호 함수를 사용하여 해당
데이터에 대한 tag값을 생성하는 암호 알고리즘."
메시지 인증(Message authentication),"네트워크를 통해 메시지를 송수신 할 때, 메시지가 전송 도중에 위변조되지 않았음을
확인하는 과정."
메신저 피싱(Messenger Phishing),"메신저를 이용한 피싱. 타인의 메신저 아이디를 도용하여 로그인한 뒤 등록된 지인에게
메시지를 보내 금전을 요구하는 행위 등을 말함."
"메일 서버 등록제(SPF, Sender Policy Framework)","이메일 발신자 진위를 확인하는 인증 기술로서 위∙변조된 이메일 주소에서 발송되는 스팸을
차단하기 위해 사용되는 기술."
명령 제어 서버(C&C(Comand and Control) Server),"해커가 각 봇(좀비PC)을 관리하고 명령을 내리기 위해 구축하는 서버로, 사용자PC 등이
봇에 감염되면 해당 C&C서버로 자동 접속됨. C&C서버에 접속하면 봇넷의 일원이 되고
해커가 C&C서버에 내리는 명령을 받아 다양한 공격을 수행하게 됨."
"모바일 일회용 패스워드(MOTP, Mobile One Time Password)","휴대폰이나 스마트폰 등 이동단말에서 사용하는 1회용 비밀번호. 일회용 비밀번호(OTP)는
보안을 강화하기 위하여 도입한 시스템으로 보안이 필요한 모바일 단말에서 사용하는
OPT를 모바일 일회용 패스워드(MOTP)라 한다. 공인인증서 방식의 본인확인도 가능함."
모의 해킹(Penetration Testing),"보안이 취약한 부분을 찾아내고 사전 조치 및 개선 방안을 마련하여 보안 사고를 미연에
방지하기 위해 시행하는 선의의 해킹. 사전에 허가된 사람에게 대상 서버나 서비스에 대해
실제 해커와 동일한 방법을 이용하여 침투 가능성을 진단함."
"목표 복구 지점(RPO, Recovery Point Objective)","조직에서 발생한 여러 가지 재난 상황으로 IT 시스템이 마비되었을 때 각 업무에 필요한
데이터를 여러 백업 수단을 활용하여 복구할 수 있는 기준점. 복구가 필요한 업무에
대하여 어느 시점까지 데이터가 필요한가에 따라 시점을 정함."
무결성(Integrity),"네트워크를 통하여 송수신되는 정보의 내용이 불법적으로 생성 또는 변경되거나 삭제되지
않음을 보장해주는 특성."
"무선 공개 키 기반 구조(WPKI, Wireless Public Key Infrastructure)","무선 네트워크 환경에서의 공개 키 기반 구조로, 현재 국내 무선 인터넷 접속 기술로 활용
되고 있는 무선 응용 통신 규약(WAP)과 MME(Microsoft Mobile Explorer)에 모두 사용
가능함. 규격 내용은 전자서명, WTLS(Wireless Transport Layer Security) 인증서 프로파일,
인증서 DN(Distinguish Name), 인증서 및 알고리즘 관련 OID(object indentifier) 등으로
구성."
"무선 응용 프로토콜(WAP, Wireless Application Protocol)","WAP은 휴대폰이나 PDA 등의 무선망에서 인터넷 서비스를 효율적으로 제공하기 위해
정의된 응용 프로토콜로서 무선망에 적합한 정보 제공 및 무선망 서비스 제어 등에 사용
되는 표준 지침."
"무선 전송 계층 보안 프로토콜 인증서(WTLS certificate, Wireless Transport","Layer Security certificate)
무선 환경의 특성을 고려하여 유선 PKI 환경의 X.509v3의 인증서를 단순화시킨 인증서.
WAP에서 정의한 인증서 규격으로, 주로 무선에서 사용되는 인증서(WPKI) 형태임."
바이러스 스캐너(Virus scanner),"알려진 바이러스를 파일, 메모리, 디스크의 마스터 부트, 부트 섹터에서 검색하는 프로그램.
바이러스 검색기라고 불림. 다형성 또는 스텔스 바이러스들에는 별로 효과적이지 못 함.
또한 새로운 바이러스는 인식하지 못함."
바이러스 월(Virus Wall),"네트워크를 통해 유입되는 콘텐츠의 바이러스 감염 여부를 검색하고 치료, 격리 및 차단
하여 바이러스의 확산과 피해를 최소화하도록 설계된 보안 설루션."
바이러스(Virus),"자기 자신을 복제할 수 있는 기능을 가지고 있으며 컴퓨터 프로그램이나 실행 가능한
부분을 변형시킴으로써 그곳에 자신 또는 자신의 변형을 복사해 넣는 악의적인 명령어들의
조합. 이미 감염된 대상을 사용자가 접근하여 활성화할 때, 관련된 시스템의 저장장치를
삭제하거나 시스템을 무력하게 하는 등 불특정 다수에게 피해를 주기 위한 목적으로
제작된 모든 컴퓨터 프로그램 또는 실행 가능한 부분."
"방화벽, 침입 차단 시스템(Firewall)","내부 네트워크를 보호하기 위해 외부에서의 불법적인 트래픽 유입을 막고, 허가된 트래
픽만 허용시켜 주는 시스템. 네트워크 또는 각 장치 간에 전송되는 데이터 패킷의 내용에
기초하여 접근통제를 구현. 네트워크상에서 보안에 대한 단일 통제점을 제공함으로써,
침입차단시스템은 개별적인 프로토콜이나 응용들에 대한 공격에 대항하는 보호수단을 제공
하고 있으며, spoofing(위장하기)에 대한 보호 수단으로서 효과적. 하지만, 프라이버시
또는 인증 기능은 지원하지 못하며, 바이러스로부터 네트워크를 보호하지는 못함."
배스천 호스트(Bastion host),"인터넷과 내부망과의 연결단에 설치되는 시스템. 접근통제 및 응용 시스템 게이트웨이로서
프락시 서버의 설치, 인증, 로그 등을 담당. 배스천 호스트(bastion host)는 정해진 계획에
따라 시스템을 검사하고 시스템 관리자에 의한 집중화된 보안 관리를 할 수 있으며 보안
정책에 따른 계정 설정 및 접근 권한을 설정하고, 접근 내역을 저장하고 사용 내용을 감시함."
백 오리피스 (Back Orifice),"백 오리피스는 대표적인 트로이목마 프로그램으로, 'Cult of Dead Cow(죽은 소에 대한
숭배)'라는 해커 그룹의 일원인 Sir Dystic이 제작 발표한 MS 윈도우 95/98 및 윈도우
NT 해킹 툴임. 백오리피스는 MS Back Office와 마찬가지로 원격지에서 윈도우용 PC의
모든 프로그램 파일을 관리할 수 있는 도구이기 때문에, 원격지에 있는 타인의 PC에
저장된 파일에 대한 접근은 물론이고 파일 삭제, 생성, 실행 등 PC 이용자 모르게 프로
그램 및 파일에 대한 조작을 할 수 있음. 또한 실행 중인 프로그램의 제거 및 정지, 사용자
키보드 입력 자료의 모니터링, 현재 실행중인 화면 캡쳐, 비밀번호 빼내기, 레지스트리
편집 등이 가능하기 때문에, 이로 인한 해킹 피해가 확산되었음."
백도어(Back door),"시스템의 정상적인 보호 수단을 우회하기 위하여 사용하는 은폐 메커니즘으로 시스템
개발자가 만들어 놓는 경우가 많음. 접근 인증의 정상적인 방법으로가 아닌 접근을 허가
받기 위해 사용되는 프로그램에 들어가는 비밀 입구로 해커가 이용자 몰래 컴퓨터에 접속
하여 악의적인 행위를 하기 위해 설치하는 출입통로 역할을 함."
백신 (Vaccine),"컴퓨터의 하드디스크와 메모리로 등에 바이러스에 의해 감염되었는지 여부를 진단하고,
감염시 바이러스를 삭제하고 파일이나 시스템을 치료하는 소프트웨어."
버그바운티 (Bug Bounty),"소프트웨어의 취약점을 발견하는 해커에게 보상금을 지급하는 제도. 국내에서는 2012년
10월부터 한국인터넷진흥원이 운영하고 있으며, 글로벌 기업에서도 시행하고 있음."
버퍼 오버플로(Buffer Overflow),"컴퓨터상에서 특정 프로그램에 할당된 메모리 영역을 초과하는 크기의 데이터를 입력
시킴으로써 발생되는 취약점을 이용한 해킹 기법. 버퍼 크기보다 더 많은 데이터를 입력
시켜 버퍼가 넘치면 메모리의 다른 영역을 침범하게 되는데, 이때 반환되는 주소값을 공격
코드가 저장된 메모리 위치가 되도록 조작하여 공격 코드가 실행되도록 하는 방법."
보안 감사(Security Audit),"시스템 통제의 적절성을 시험하고, 수립된 정책과 운영 절차의 준수를 보장하고, 보안
위반을 탐지하고 통제, 정책 및 절차에 대한 바람직한 변경을 권고하기 위한 시스템 기록
및 활동의 독립적인 검토 및 조사."
보안 관리(Security management),"비인가된 접근으로부터 통신네트워크 및 시스템, 응용서비스 등을 보호하기 위한 관리
기능. 보안관리에는 보안 서비스와 메커니즘의 생성, 제어, 삭제 기능, 보안 관련 정보의
분배 기능, 보안 관련 이벤트의 보고 기능, 암호 키의 분배 제어 기능, 인가된 사용자의
접근권한 관리 기능 등 다양한 서브 기능들이 포함됨."
보안 권고문(Security Advisory),"발견된 취약점에 영향을 받는 시스템, 위험도, 해결 방안 등을 제시하여 사용자에게 공식적
으로 알리는 문서."
보안 수준(Security level),정보의 중요도를 표현한 것으로 중요도 단계와 중요도 범주로 이루어짐.
"보안 목표 명세서(ST, Security Target)","정보 통신 시스템의 보안 성능을 평가할 때, 시스템 보안 환경이나 보안 요구 사항 따위를
기술한 문서. 평가를 시행하려는 정보보호시스템에 해당하는 PP(보호프로파일)의 보안
요구 사항을 기초로 시스템 사용 환경, 보안 환경, 보안 요구 사항, 보안기능 명세 등을
서술한 문서."
보안 보장 생성 언어(SAML [Security Assertion Markup Language]),"이질적인 웹 접근관리와 보안 제품간에 인증과 인가정보의 교환기능을 제공하는 XML
기반언어로서, 웹기반의 시스템에 접근제어, 인증, SSO구현을 목적으로 함."
보안 사고(Security Incident),"사용중인 보안 정책을 통제하는 요구 사항에서 파생하는 분류 정보와 관련된 행위 또는
상황을 의미함."
보안 서버(Secure server),"인터넷상에서 전송되는 자료를 암호화하여 송수신하는 기능을 제공하는 웹 서버(웹 사이트).
개인정보 보호를 위한 가장 기본적인 수단으로 사용됨. 보안 서버는 H/W 기반으로 구현되는
것이 아님. 기존의 웹 서버에 SSL 인증서를 설치하는 ‘SSL 방식 보안 서버’와 암호화 툴킷을
적용하여 암호 통신 기능을 제공하는 ‘응용 프로그램 방식 보안 서버’가 있음."
"보안 셀(SSH, Secure Shell)","상당히 긴 통과 어구에 의해 보호되는 두 컴퓨터 간에 완벽하게 암호화된 셀 연결을 뜻함.
원격 컴퓨터에 안전하게 접근하기 위한 Unix 기반의 명령 인터페이스 및 프로토콜을 말함.
관리자들이 웹서버 및 여러 종류의 서버들을 원격 제어하기 위해 사용되며 RSA 공개키
암호화 기법을 사용함."
보안 아키텍처(Security Architecture),"설계를 감독할 일련의 원칙과 함께 보안과 관련된 시스템의 모든 양상에 대한 세부 설명을
의미함."
"보안 연계 DB(SAD, Security Association Data Base)","보안연계(SA, Security Association)를 통하여 결정된 매개변수들을 DB화 시켜 놓은 것
으로 SAD는 데이터 교환 전에 통일되어야 할 요소들을 정의함. 예를 들어 “A 사이트와의
인증은 MD5를 사용하며 암호 방식은 DES이고, 비밀 키는 K이다”라는 정보를 DB화 시켜
놓은 것을 SAD라 함."
"보안 연계(SA, Security Association)","보안 통신을 수행하기 위하여 통신 객체들은 그들이 사용할 각종 보안 서비스의 종류와
매개변수들(보안 프로토콜, 키, 키의 사용기간 등)을 통신 전에 상호 규정하여야 함. 이런
사전 규약을 정의하는 프로토콜 또는 그 결과를 SA라 함."
보안 운영 체제(Secure OS),"컴퓨터 운영체제의 보안상 결함으로 인하여 발생 가능한 각종 해킹으로부터 시스템을 보호
하기 위하여 기존의 운영체제 내에 보안 기능을 운영체제의 커널에 통합시켜 소기의 보안
목적을 거둘 수 있도록 구성된 운영체제."
보안 정보 이벤트 관리(SIEM),"SIEM(Security Information & Event Management)은 기업이나 개관 내부의 다양한 보안
로그와 이벤트, 각종 자산 정보를 통합하여 상관분석을 수행함."
보안 정책 기술 언어(Security Policy Description Language),"일반적으로 보안서비스를 효율적으로 기술하기 위한 XML 기반 언어. 예를 들면, 홈 네트
워크 내에서 디바이스의 유형에 따라 그 접근 범위가 결정되며 디바이스 각각에 대한 보안
정책을 XML 형태로 xDHL을 제공하여 각 홈 디바이스의 접근 제어를 용이하게 제공함."
보안 정책(Security policy),"조직의 관리 및 보호 방법과 중요 정보의 분배 방법을 규정한 법, 규칙, 관습의 집합."
보안 취약점(Security Vulnerability),"시스템 또는 프로그램에 내재되어 있는 버그(잘못된 부분)를 의미하며, 해커는 이를 악용해
시스템에 침입하여 정보 유출, 시스템 파괴 등 유발."
보안 칩(Security chip),"하드웨어 플랫폼에 보안 기능을 탑재해 한층 강화된 보안 서비스를 제공하는 칩. 마이크로
프로세서, 마이크로 컨트롤러, 플래시 메모리 등이 내장된 칩 자체에 보안 기능을 탑재하여
컴퓨터 메모리에 저장되어 있는 다양한 애플리케이션을 무단 해킹과 같은 공격으로부터
안전하게 보호할 수 있음."
보안 커널(Security kernel),"하드웨어, 펌웨어, 소프트웨어를 포함한 컴퓨터 시스템에 참조 모니터 개념을 적용한
TCB(Trusted Computing Base) 요소. 커널 레벨에서 시스템 내의 모든 접근 요구를 조정
하고, 불법적인 변형을 막음."
"보안 토큰(HSM, Hardware Security Module)","전자서명 생성 키 등 비밀 정보를 안전하게 저장 및 보관할 수 있고 기기 내부에 프로세서
및 암호 연산 장치가 있어 전자서명 키 생성, 전자서명 생성 및 검증 등이 가능한 하드
웨어 장치로 기기 내부에 저장된 전자서명 생성 키 등 비밀 정보는 장치 외부로 복사 또는
재생성되지 않음."
보안 통제(Security Control),"정보 시스템을 보호하기 위해 제공된 하드웨어, 펌웨어 및 소프트웨어 안에서 구현되는
보안 메커니즘과 물리적, 인적, 절차적 및 관리적 보안 요구 사항을 포함하는 조치사항."
보안 패치/보안 업데이트(Security Patch/Security Update),"프로그램의 일부분을 신속하게 수정하는 행위 또는 수정하는 프로그램을 말하며, 취약점
또는 오류가 발견된 프로그램을 보완하는 데 사용됨. 예를 들어, 윈도, 파워포인트, 익스
플로러 등 각종 운영체제나 응용 프로그램에 해커가 악용할 수 있는 문제점이나 오류 등을
보완하기 위해 제품업체에서 내놓는 개선된 패키지."
보안 평가(Security Evaluation),"정보보안 사고를 사전에 예방하기 위하여 정보 제품에 대한 보안성 평가. 관리자는 네트
워크 모니터에서 해킹에 이르기까지 시스템과 네트워크에 직접 침입함으로써 전산 시스템에
대한 정확한 평가를 할 수 있음. 보안 평가는 응용 환경을 배제한 상태에서 하드웨어와
소프트웨어의 기능이나 확인 사항에 대해 평가하는 제품 평가와 특정 운영 임무와 시스템의
안전에 대한 인증이나 인가 과정을 평가하는 시스템 평가가 있음."
보이스 피싱(Voice Phishing),"수집된 개인정보를 이용, 전화를 걸어 공공 기관 등 공신력 있는 기관을 사칭, 돈을 요구
하거나 추가적인 정보(개인정보, 금융 정보 등)를 수집하는 행위를 의미."
"보호 프로파일(PP, Protection Profile)","정보보호시스템 사용 환경에서의 보안문제를 서술하고 이를 해결하기 위한 보안요구
사항을 국제공통평가기준(CC)에서 선택하여 작성한 제품군별 평가기준. 보호프로파일의
작성목적은 정보보호시스템의 구현기술을 서술하고자 하는 것이 아니라 보안환경에 의해서
정의한 보안목적을 만족하도록 보안대책을 체계적으로 세우고 이에 합당한 보안 요구 사항을
도출하여 정보보호시스템 평가를 위한 논리적 기초를 마련하고자 하는 것."
복제 방지 기술(Copy Protection),"기기간 전송 또는 기록 장치로 저장시 콘텐츠의 불법복제 방지를 위한 기술. 기기들 간
콘텐츠 복사나 이동 시의 콘텐츠 보호는 가능하지만 콘텐츠에 대한 다양한 권한제어가
불가능함."
"복호화(Decipherment, Decryption)","암호화된 문장을 평문으로 변경하는 것. 대응되는 암호화 과정의 역과정으로 암호화
알고리즘에 따라 암호문을 평문으로 대응시키는 변환."
봇(Bot),"로봇과 같이 스스로 움직이지 못하나 명령자의 명령에 의해 원격으로 제어나 실행이 가능한
프로그램 또는 코드를 의미하며 흔히 ‘좀비 PC’로 일컬어짐. 운영체계나 비밀번호의 취약점,
웜 바이러스의 백도어 등을 이용하여 전파되며 스팸메일 전송이나 분산서비스거부
(DDoS) 공격 등에 악용됨."
봇넷(Botnet),"악성 프로그램에 감염되어 악의적인 의도로 사용될 수 있는 다수의 컴퓨터들이 네트워크로
연결된 형태."
부인 방지(Non-repudiation),"행위나 이벤트의 발생을 증명하여, 나중에 그런 행위나 이벤트를 부인할 수 없도록 하는
서비스. 정보보안의 방법에 의하여 데이터의 송수신자가 송수신 사실을 부인하지 못하도록
방지하는 서비스."
"분산 서비스 거부 공격(DDoS attack, Distributed Denial of Service attack)","공격자(해커)가 악성코드에 감염된 다수의 PC를 이용하여 대량의 유해 트래픽을 특정
시스템에 전송함으로써 네트워크 및 시스템의 과부하를 유발하여 정상적인 서비스를 방해
하는 사이버 공격."
불필요한 프로그램 (PUP(Potentially Unwanted Program)),"PUP의 기능이 잠재적으로 사용자가 불편을 느낄 수 있어 이에 대해 부여되는 진단명.
안랩의 PUP 정책에 따라 악성 여부와 상관없이 PUP 조건에 해당하면 부여됨."
블랙 마켓(Black market),"블랙마켓은 특정 상품이 매매되는 물리적 장소를 의미하는 것이 아닌, 서비스나 제품을
불법적으로 사고파는 경제적 활동을 의미. 적법한 과정을 거치지 않고 어둠 속에서 활동이
이루어진다는 의미로 ‘블랙’이라는 단어를 사용."
블랙 햇(Black hat),"악의적 목적을 가지고 정보 시스템에 침입, 데이터 변조, 악성코드 유포 등의 악성행위로
해를 끼치는 해커. 서부 영화에 나오는 악당 역할의 등장인물이 자주 쓰는 검은 색의
모자에서 유래 되었으며, 반대로 윤리적인 해커는 화이트햇(White hat)."
블랙리스트(Blacklist),"악성코드의 시그니처 등을 목록화해 악의적인 프로그램을 탐지, 또는 악성 URL 목록 등의
차단에 이용하는 기법."
블로그 스팸(Blog Spam),"블로그를 악용하는 스팸. 블로그 댓글에 악의적인 웹페이지로 연결되는 링크와 유인
문구를 게시해 사용자가 악성 콘텐츠를 다운로드 받도록 유도함."
블록 암호(Block cipher),"특정 크기의 평문 블록을 암호화하여 이에 대응하는 암호문 블록을 생성하는 비밀 키 암호
알고리즘."
블록체인 (Blockchain),"동일한 목적을 가진 주체들이 운영하는 노드로 구성된 블록체인 네트워크 또는 시스템.
일반적으로 모든 노드는 동일한 블록체인 데이터를 공유하며, 임의로 수정할 수 없고
누구나 변경의 결과를 열람할 수 있는 분산 컴퓨팅 기반의 원장 관리 기술."
블루팀(Blue Team),"블루팀은 레드팀과는 반대로 헛점 혹은 잘못된 점을 방어 하는 역할을 한다. 즉 취약점과
헛점이 있는 것을 보완하는 역할을 하는 팀."
비대칭 서명 시스템(Asymmetric signature system),"서명 생성 시에는 개인 키를 사용하고 검증시에는 공개 키를 사용하는 비대칭 암호 기술에
기반한 서명 시스템."
비대칭 암호 기술(Asymmetric cryptographic technique),"정보를 암호화하기 위하여 사용하는 암호화 키와 암호화된 정보를 복원하기 위하여 사용
하는 복호화 키가 서로 다른 암호화 방식으로 공개 키 암호 방식이라고도 함. 메시지를
전달하고자 할 경우 받는 사람의 공개 키를 이용해서 직접 암호화(예, RSA 방식)
및
유사한 효과를 내는 방식(예, ElGamal 계열의 키 유도 및 키 공유)으로 변환하여 암호화
하여 전송하게 되고 이러한 메시지를 받는 사람은 자신의 개인 키를 이용해서 복호화함.
암호화 처리의 경우, 공개 키에 의하여 정의되는 공개 변환함수와 개인 키에 의하여
정의되는 비공개 변환함수의 두개의 상관 변환함수를 이용하는 암호 기술. 이 두개의 변환
함수는 공개 변환함수가 알려져도 비공개 변환함수를 유추하는 것이 계산적으로 불가능
하다는 성질을 가짐."
비대칭 암호 시스템(Asymmetric cryptographic system),"암호화와 복호화에 쓰이는 키가 서로 다른 암호 시스템으로서 공개 키 암호 시스템을 의미함.
암호화에 공개 키를 사용하고 복호화에 개인 키를 사용하는 비대칭 암호 기술에 기반한
시스템."
비대칭 암호화 방식(Asymmetric cryptosystem),"메시지를 암호화하는 공개 키와 메시지를 복호화하는 개인 키를 따로 두는 암호화 방식
으로, 공개 키는 일반적으로 누구나 알 수 있으나 개인 키는 소유자만이 알고 있으며,
송신자는 메시지 수신자의 공개 키로 메시지를 암호화하여 수신자에게 전송하고, 메시지를
받은 수신자는 자신의 개인 키를 이용해서 복호화함."
비대칭 키 쌍(Asymmetric key pair),"공개 키 암호 시스템에서 메시지를 암호화할 때 쓰는 공개 키와 암호화된 메시지를 복호화
할 때 쓰는 개인 키를 함께 이르는 말. 비공개 변환함수를 정의하는 개인 키와 공개 변환
함수를 정의하는 공개 키로 이루어진 상호 관련을 갖는 키의 쌍."
비대칭 키 알고리즘(Asymmetric Key Algorithm),"암호화 및 복호화 시 각기 다른 두 가지 키가 필요한 암호 알고리즘으로, 두 가지 키를
일반적으로 공개 키(public key)와 개인 키(private key)라고 하는데, 비대칭 알고리즘을
공개 키 알고리즘이라고도 함. 일반적으로 비대칭 키 알고리즘은 세션 키를 교환하거나
메시지나 문서를 전자적으로 서명하는 데 사용되며, 비대칭 알고리즘은 대칭 알고리즘에
비해 속도가 느리며 암호화 속도와 복호화 속도가 서로 차이가 날 수 있음."
비밀 공유방식(Secret Sharing),"개인이 비밀에 대해 이해할 수 있는 정보를 가지고 있지 않지만 충분한 수의 개인인
자신의 고유를 결합하면 비밀값을 재구성할 수 있는 방식으로 안전한 다자간 계산(MPC)의
주요 설계 구성요소임."
비밀 키(Secret key),대칭 암호 기술에 사용되는 암호 키.
비상 대책(Contingency plan),"가능한 모든 통제수단이 설치되고 운영됨에도 불구하고 정보 시스템 시설에 재난이나
사고가 발생할 수 있음을 고려하여, 재난이 발생하더라도 그것이 복구되기 이전까지
조직의 업무가 제한적인 범위에서라도 계속 수행될 수 있도록 사전에 이에 대비하여 수립
하는 계획. 서비스의 연속성 및 안전성을 고려하고 있음."
비정상 행위 탐지(Anomaly detection),정상 행위 자료를 기반으로 하여 이에서 벗어나는 행위를 침입 행위로 탐지하는 기술.
비컨 (Beacon),"블루투스 기술을 활용하여 특정 사용자 위치정보를 기반으로 다양한 정보를 전달하기 위한
노드."
사이버 공격(Cyber attack),"특정한 정치나 사회적 목적을 가진 개인, 테러 집단 또는 적이 되는 나라가 해킹을 하거나
컴퓨터 바이러스를 유포하는 전자 공격으로 정보 통신 기반 시설을 파괴하거나 마비되게
함으로써 사회 혼란과 국가 안보를 위협하는 행위. 정보 통신 발달과 해킹 도구를 지능화해
침입 속도가 빨라지고 피해 규모도 매우 증가하고 있음."
사이버 대피소(DDoS Cyber Urgent Shelter),"디도스 방어 시스템(DDoS Defense System)을 이용하여 디도스 공격을 받은 사이트의
방어를 지원하기 위한 사이버 긴급대피소로 한국인터넷진흥원(KISA) 인터넷침해대응센터
(KISC) 내에 구축되어 있음. 디도스 사이버 긴급대피소는 디도스 공격을 받은 사이트의
IP 주소를 바꾸어 주어 공격을 차단하기 위한 보안 방법임. 자체적으로 DDoS 대응 환경을
갖추기 어려운 영세 기업 또는 비영리단체 등의 DDoS 공격피해 최소화를 위해 DDoS
피해 예방 및 공격대응 서비스를 제공함. 공격트래픽은 대피소에서 막아주고, 정상적인
이용자의 접속은 연결시켜 줌으로써, 공격이 발생하더라도 서비스 이용에 문제가 없음."
사이버 보안 지수(Cyber Security Index),"국가, 조직 등에서 사이버 보안 수준을 측정하는데 활용하기 위한 평가지수로, 국제전기
통신연합(ITU-T)에서 사이버 보안 지수 측정 체계 수립을 국제표준으로 개발함. 사이버 보안
지수는 법률, 기술, 조직, 역량, 협력의 총 5개 영역의 총 73개 문항으로 구성됨."
사이버 보안(Cyber Security),"사이버 환경에서 네트워크를 통해 연결된 조직∙사용자 자산을 보호하기 위해 사용되는
기술적 수단, 보안 정책, 개념, 보안 안전장치, 가이드라인, 위기관리방법, 보안 행동,
교육∙훈련, 모범사례, 보안 보증, 그리고 보안 기술들의 집합으로 정의함. 사이버보안은
사이버 환경에서 다양한 보안 위협으로부터 조직과 사용자의 자산이 지속적으로 유지되는
것을 보장함. 일반 보안 목표는 가용성, 메시지 인증∙부인방지를 포함한 무결성, 그리고
기밀성으로 달성됨."
사이버 복원력(Cyber Resilience),"사이버 복원력은 침해 사고를 완벽하게 통제할 수 없기 때문에 사고 시 정상 비즈니스로
빠르게 돌아오는 회복 탄력성을 높이는 것을 뜻함. 초연결사회에서 작동하고 있는 주요
정보시스템들은 사이버 공격을 받고 있는 상황에서도 그 핵심 기능이 작동해야 하며, 침해
당한 부분도 자기 치유를 통해 회복되어야 하기 때문에사이버 복원력의 중요성이 커지고
있음."
사이버 위기 경보(Cyber Crisis Alert),"사이버공격에 대한 체계적인 대비 및 대응을 사전에 준비할 수 있도록 발령하는 경보.
사이버공격의 수준에 따라 4단계로 발령됨. 평상시에는 정상(초록)을 유지하다가 관심
(파랑)→주의(노랑)→경계(주황)→심각(빨강) 순으로 단계별로 발령됨."
사이버 위험(Cyber Risk),"네트워크와 정보기술로 인해 사이버 공간에서 발생할 수 있는 손실. 사이버 테러와 사이버
전쟁 같은 군사적 행위부터 사이버 범죄와 개인정보 침해에 이르기까지 매우 다양함.
전 국토가 네트워크화 되면서 어느 한 곳에 대한 공격이 국가를 총체적 위기로 몰아가
사회적 혼란을 야기할 수 있음."
사이버 킬 체인 (Cyber Kill Chain),"킬 체인(Kill Chain)은 세계적인 군수업체의 등록상표로, 적의 미사일을 실시간으로 탐지
하고 공격으로 잇는 일련의 공격형 방위시스템을 일컫는 시사 용어임. 이 용어를 IT 보안 업계
에서 공격자가 조직을 공격할 때 쓰는 방법을 7개의 단계로 정의한 모델로서 사용함.
사이버 킬 체인의 7단계는 ▲정찰(Reconnaissance) ▲공격코드 제작(Weaponization) ▲
전달(Delivery) ▲취약점 공격(Exploitation) ▲설치(Installation) ▲명령 및 제어(Command
and Control) ▲목표시스템 장악(Actions on x-objectives)으로 구성됨."
사전 공격(Dictionary attack),"‘Rose’, ‘Love’ 등과 같이 이용자들이 사전에 포함되어 있는 쉬운 단어를 비밀번호로 많이
사용하는 점을 악용해 비밀번호를 알아내는 기법. 사전의 수만 단어를 컴퓨터에 자동 처리
시켜 짧은 시간 내에 입력 가능하며, 대소문자를 뒤섞거나 단어에 숫자를 조합하기도 함."
사회공학적 해킹(Social Engineering Hacking),"시스템이 아닌 사람의 취약점을 공략하여 원하는 정보를 얻는 공격 기법. 사회공학적
해킹은 인터넷의 발달로 이메일, 인터넷 메신저, 트위터 등을 통해 사람에게로의 접근
채널이 다각화됨에 따라 지인으로 가장하여 원하는 정보를 얻어내는 공격 방법."
